"gender","genderID","height","weight","shoeSize","schoolYear","studyHr","GPA","ACT","pets","siblings","speed","cash","sleep","shoeNums","ageMother","ageFather","random","love","charity","movie","favTV1","favTV2","section"
"Female","Female",66,125,8,"Junior",2.5,3.8,31,2,2,95,15,8,15,51,51,4,"few",100,"Pulp Fiction","Shameless","The Office","Stat100_L1"
"Female","Female",67,130,8,"Sophomore",1,3.5,31,4,4,20,15,8,10,53,53,8,"one",50,"none","friday night lights","none","Stat100_L1"
"Male","Male",65,145,10,"Sophomore",1,2.9,31,4,2,120,20,8,5,54,55,2,"dozens",25,"shawshank redemption","Game of Thrones","none","Stat100_L1"
"Female","Female",70,132,9.5,"Freshman",2,4,24,2,2,80,40,8,14,46,46,4,"one",55,"Moana","90210","Gossip Girl","Stat100_L1"
"Male","Male",66,117,9.5,"Sophomore",2,3,36,0,1,127,24,7.5,8,48,47,7,"few",80,"Kill Your Darlings","Shameless (US)","Peaky Blinders","Stat100_L1"
"Female","Female",63,147,9,"Sophomore",2,3.8,28,5,4,95,21,7,5,45,45,3,"thousands",100,"Across the Universe","Game of Thrones","American Horror Story","Stat100_L1"
"Female","Female",63,152,8,"Freshman",2,4,23,1,1,57,0,8,9,47,45,5,"one",3,"The Birth of A Nation (2016)","POWER","Insecure","Stat100_L1"
"Male","Male",72,145,11,"Sophomore",4,3.6,28,1,3,131,20,6,7,50,60,7,"few",30,"Step Brothers","The Office","Prison Break","Stat100_L1"
"Male","Male",72,230,11.5,"Freshman",2,3.5,32,1,1,115,10,6,4,48,49,7,"one",0,"Spirited away","Adventure time","Running man","Stat100_L1"
"Female","Female",65,130,8,"Freshman",10,4,24,10,2,120,40,5.5,25,54,52,6,"few",60,"Lion","Supernatural","Friends","Stat100_L1"
"Male","Male",70,220,12,"Sophomore",5,3.4,21,15,4,90,0,8,3,42,45,9,"one",100,"Death Note (Live Action)","The Flash","DC Legends of Tomorrow","Stat100_L1"
"Female","Female",67,215,11,"Sophomore",1,3.6,27,1,6,92,12,6,20,53,48,9,"hundreds",100,"Get Smart","Grey's Anatomy","Shameless","Stat100_L1"
"Female","Female",67,135,10,"Junior",4,3.5,24,3,1,105,120,7,15,55,59,4,"one",30,"American History X","Greys Anatomy","Shameless","Stat100_L1"
"Male","Male",71,168,13,"Freshman",3,3.2,32,0,0,0,0,7,4,51,54,4,"hundreds",100,"Borat","The Office","Game of Thrones","Stat100_L1"
"Female","Female",66,133,8.5,"Sophomore",3,3.5,26,4,2,70,20,6,25,50,50,5,"few",48,"Catch Me if You Can","One Tree HIll","The Office","Stat100_L1"
"Female","Female",60,98,5,"Freshman",2,4,21,2,2,110,0,7,5,35,36,7,"few",50,"none","Greys Anatomy","Shameless","Stat100_L1"
"Female","Female",60,141,6,"Sophomore",4,3.2,19,0,5,0,10,6.5,34,42,41,8,"one",15,"Now you see me 1 & 2","Law & Order SVU","Real Housewives of Atlanta","Stat100_L1"
"Female","Female",68,195,9,"Sophomore",3,3.9,27,0,2,96,110,7,21,46,52,6,"dozens",30,"none","Big Brother","Keeping up with the Kardashian","Stat100_L1"
"Female","Female",62,125,7,"Freshman",2,4,31,1,2,90,23,5,8,47,46,3,"dozens",60,"baby driver","The Office","Rick and Morty","Stat100_L1"
"Female","Female",62,115,7.5,"Junior",3,2.5,25,4,2,100,7,8,10,51,57,6,"dozens",10,"Titanic","Black Mirror","Jane the Virgin","Stat100_L1"
"Female","Female",59,103,5,"Senior",4,3.2,27,0,1,80,20,8,5,51,51,6,"few",50,"Goodfellas","Law and Order: SVU","Longmire","Stat100_L1"
"Female","Female",69,130,8.5,"Freshman",2,1,24,2,1,90,1,8,20,48,49,7,"few",100,"Harry Potter","One Tree Hill","Gossip Girl","Stat100_L1"
"Female","Female",61,112,5.5,"Sophomore",2,3.3,28,0,2,60,200,7.5,7,52,55,8,"few",100,"Ex Machina","Peaky Blinders","Dr. Phil","Stat100_L1"
"Female","Female",65,137,9,"Freshman",1.5,4,28,2,1,100,15,6,20,51,51,7,"few",50,"Remember the Titans","Chicago Fire","Friday Night Lights","Stat100_L1"
"Female","Female",58,115,6,"Freshman",5,3.7,25,0,3,60,0,8,11,52,57,7,"few",100,"Gone with the Wind","Greys Anatomy","Hart of Dixie","Stat100_L1"
"Female","Female",63,169,6.5,"Freshman",3,4,29,7,1,38,20,5.5,16,38,38,4,"one",30,"John tucker must die","Pretty Little Liars","Dance Moms","Stat100_L1"
"Female","Female",64,158,9,"Sophomore",1,3.4,22,6,3,99,0,8,16,52,53,6,"few",70,"Girls Trip","So You Think You Can Dance","Love it or List it","Stat100_L1"
"Male","Male",73,178,11,"Junior",7.5,3.8,28,1,1,101,2,7,10,52,57,4,"thousands",0,"Star Wars V","Friends","Game of Thrones","Stat100_L1"
"Female","Female",62,117,4.5,"Sophomore",2.5,2,22,4,8,40,0,5,25,37,39,6,"one",75,"""""Trolls""""","""""Criminal Minds""""","""""Shameless""""","Stat100_L1"
"Male","Male",67,135,9.5,"Freshman",2.5,4,30,2,1,85,120,7.5,8,53,54,6,"millions",0,"Gran Torino","Drake and Josh","Rick and Morty","Stat100_L1"
"Male","Male",67,160,9.5,"Sophomore",0.5,3.7,28,2,2,140,40,7,6,45,47,2,"dozens",47,"You are an apple of my eye","None","None","Stat100_L1"
"Female","Female",67,170,9,"Sophomore",3,3.7,26,3,2,90,0,7,15,43,47,3,"one",100,"Perks of Being a Wallflower","Shameless","The Fosters","Stat100_L1"
"Male","Male",68,250,11,"Sophomore",1.5,2.5,24,2,3,100,16,9,5,48,51,7,"few",75,"none","none","none","Stat100_L1"
"Female","Female",67,145,9,"Sophomore",4,3.3,27,1,3,92,200,6,4,54,51,6,"few",90,"Lion","Friends","The Office","Stat100_L1"
"Female","Female",61,140,8.5,"Senior",6,3.9,30,1,2,95,10,6,60,52,52,8,"few",15,"Reservoir Dogs","The Office","Curb Your Enthusiasm","Stat100_L1"
"Female","Female",62,130,7,"Sophomore",2,2.8,24,1,4,80,3,5.5,10,43,49,3,"few",30,"Salt","Pretty Little Liars","Power","Stat100_L1"
"Female","Female",64,120,8,"Freshman",3.5,4,27,2,1,0,20,8,15,47,46,6,"few",80,"Perks of being a wallflower","Greys Anatomy","The Office","Stat100_L1"
"Female","Female",63,152,8,"Freshman",9,3.7,34,1,0,0,20,7.5,15,49,50,4,"few",30,"Gone with the wind","Revenge","Saturday Night Live","Stat100_L1"
"Male","Male",72,160,11,"Freshman",1,4,26,4,3,90,0,7,14,46,48,7,"one",50,"Star Wars the Force Awakens","Game Of Thrones","The Office","Stat100_L1"
"Female","Female",62,115,5.5,"Sophomore",3,2.7,21,3,2,100,90,6.5,40,54,55,4,"dozens",50,"Moana","Shameless","Scandal","Stat100_L1"
"Male","Male",70,165,10.5,"Sophomore",2,3.3,30,3,1,100,25,7,6,48,54,7,"one",25,"Interstellar","White Collar","Game of Thrones","Stat100_L1"
"Female","Female",68,135,9,"Freshman",3,4,25,7,1,90,100,6,13,40,43,7,"one",90,"Pulp Fiction","Twin Peaks","It's Always Sunny in Philadelphia","Stat100_L1"
"Female","Female",62,132,6.5,"Freshman",6,3.8,33,0,0,0,1,8,8,40,50,2,"few",5,"Star Wars","none","none","Stat100_L1"
"Male","Male",68,158,10,"Sophomore",3,1.8,25,0,0,155,500,8,3,51,44,6,"few",40,"Eternal Sunshine of the Spotless Mind","Shameless","Weeds","Stat100_L1"
"Female","Female",65,175,7.5,"Freshman",3.5,4,21,5,12,0,1,6,10,39,42,7,"one",100,"Drop Dead Fred","The Fosters","Pretty Little Liars","Stat100_L1"
"Male","Male",66,130,6.5,"Freshman",1,3.6,31,0,2,81,20,8,5,48,50,1,"few",100,"Interstellar","Psych","Fullmetal Alchemist","Stat100_L1"
"Male","Male",70,210,10,"Sophomore",4,3.4,24,2,2,60,800,8,6,45,43,7,"few",75,"The conjuring","Friends","American Horror Story","Stat100_L1"
"Male","Male",71,150,11,"Freshman",4,3.8,29,3,2,95,35,7.5,6,48,49,3,"few",90,"Forrest Gump","Walking Dead","Stranger Things","Stat100_L1"
"Female","Female",72,145,8.5,"Sophomore",2,2.8,21,1,5,105,2,7.5,10,44,47,4,"few",40,"BIG","Boondocks","Family Feud","Stat100_L1"
"Female","Female",62,110,7,"Sophomore",2,3.8,25,17,6,97,1,7.5,12,56,45,7,"few",50,"The Green Mile","Dexter","New Girl","Stat100_L1"
"Female","Female",69,148,10,"Freshman",5,3.8,28,2,2,94,0,4,14,45,46,7,"few",70,"Big Jake","Dance Moms","Criminal Minds","Stat100_L1"
"Female","Female",62,112,8,"Sophomore",3,4,23,0,2,85,80,6,25,49,47,5,"few",50,"Get Out","The Office","Power","Stat100_L1"
"Male","Male",72,148,10.5,"Sophomore",3,3.3,25,0,1,0,100,8,5,55,58,7,"few",50,"Avatar","none","none","Stat100_L1"
"Female","Female",66,150,10,"Sophomore",10,3.9,27,4,3,90,120,7,12,50,60,3,"one",60,"The Longest Ride","Grey's Anatomy","Fixer Upper","Stat100_L1"
"Female","Female",67,165,10.5,"Freshman",2,3.5,21,10,4,105,10,6.5,10,42,52,7,"one",40,"""""none""""","shameless","Riverdale","Stat100_L1"
"Female","Female",64,120,7.5,"Freshman",1,4,26,5,2,85,7,7,12,43,43,8,"few",85,"Burlesque","Friends","Drake and Josh","Stat100_L1"
"Female","Female",65,135,7.5,"Sophomore",4,3.7,26,2,1,80,20,7.5,5,55,56,10,"few",20,"Superwoman","Friends","New Girl","Stat100_L1"
"Male","Male",72,190,12,"Senior",2,2.8,22,3,1,156,40,9,15,50,50,6,"dozens",30,"none","ridiculousness","ozark","Stat100_L1"
"Female","Female",63,126,8.5,"Freshman",7,4,22,2,3,90,300,8,10,53,53,7,"few",60,"She's the man","New Girl","Modern Family","Stat100_L1"
"Female","Female",66,121,7,"Sophomore",3,3.5,26,0,1,55,20,8,10,59,54,2,"one",100,"Love, Rosie","Atypical","Friends","Stat100_L1"
"Male","Male",70,190,12,"Sophomore",3,3.5,23,2,4,100,20,6.5,7,49,57,4,"millions",0,"Moana","Family guy","The Office","Stat100_L1"
"Female","Female",67,105,7.5,"Sophomore",5.5,3.2,22,0,3,98,40,7,60,54,55,4,"thousands",20,"Stuck In Love","Friends","Full House","Stat100_L1"
"Female","Female",65,145,9,"Freshman",1,4,23,2,1,40,16,6,25,49,50,7,"dozens",95,"Atomic Blonde","None","None","Stat100_L1"
"Female","Female",61,96,5,"Freshman",2,3.4,27,1,1,100,0,7,17,44,45,4,"one",75,"Interstellar","Shameless","Riverdale","Stat100_L1"
"Male","Male",67,150,9,"Sophomore",0.5,2.9,30,3,2,111,0,7.5,4,51,56,8,"dozens",94,"Whiplash","Rick and Morty","Big Brother","Stat100_L1"
"Female","Female",67,155,9.5,"Sophomore",4,3,27,6,8,92,9,7,18,47,56,3,"few",75,"The Revenant","Skins UK","House of Cards","Stat100_L1"
"Male","Male",65,127,9.5,"Graduate",3,3.1,20,0,0,100,300,8.5,10,50,53,7,"few",15,"midnight in paris","none","none","Stat100_L1"
"Male","Male",69,140,9,"Junior",2,3.5,23,1,5,130,0,8.5,20,39,42,4,"millions",25,"Other Guys","Narcos","Nurse Jackie","Stat100_L1"
"Female","Female",67,145,9,"Freshman",6,4,25,2,2,90,0,8,25,53,53,4,"few",70,"About Time","The Bachelor","The Bachelorette","Stat100_L1"
"Male","Male",70,184,10.5,"Sophomore",2,3.2,29,1,1,120,1,7,15,52,53,7,"few",25,"Logan","Stranger Things","How To Get Away With Murder","Stat100_L1"
"Male","Male",70,200,11.5,"Sophomore",3,2.6,28,1,1,100,30,7,4,49,52,4,"dozens",100,"Baby Driver","Game of Thrones","Daredevil","Stat100_L1"
"Female","Female",63,115,7,"Freshman",3.5,4,28,4,2,85,36,7.5,12,52,53,6,"few",100,"Ferris Bueller's Day Off","Game of Thrones","The Man in the High Catle","Stat100_L1"
"Female","Female",66,126,7.5,"Sophomore",3,3.6,30,0,2,30,57,8,7,52,54,3,"few",30,"Harry Potter","Morden family","Ellen show","Stat100_L1"
"Female","Female",62,121,6,"Junior",3,3.8,35,0,1,0,100,7,15,49,53,2,"few",5,"Intern","GossipGirs","WalkingDead","Stat100_L1"
"Female","Female",67,115,9,"Sophomore",1.5,3.7,24,1,0,98,0,6,10,50,54,7,"few",70,"Breaking Dawn","That 70's Show","Power","Stat100_L1"
"Female","Female",70,135,9,"Freshman",2,4,27,1,3,95,50,9,30,55,57,3,"few",20,"last song","grey anatomy","the bachelor","Stat100_L1"
"Female","Female",61,115,8,"Freshman",3.5,3.4,28,3,1,90,0,8,15,51,52,5,"few",50,"the little mermaid","Greys Anatomy","The fosters","Stat100_L1"
"Female","Female",66,130,8,"Freshman",2,4,25,11,1,105,20,7.5,18,48,56,7,"one",100,"hitmans bodyguard","pretty little liars","bachelor in paradise","Stat100_L1"
"Female","Other",66,145,8.5,"Sophomore",2.5,3.5,26,0,8,0,0,7.5,14,49,62,4,"few",85,"Okja","Game of Thrones","Black Mirror","Stat100_L1"
"Male","Male",68,268,10.5,"Sophomore",2,2.3,30,0,2,91,5,5.5,5,38,39,6,"few",90,"the titanic","breaking bad","friday night lights","Stat100_L1"
"Male","Male",72,180,13,"Sophomore",2,3.2,30,4,3,100,20,7,5,57,57,3,"dozens",95,"Interstellar","That 70's Show","Rick and Morty","Stat100_L1"
"Female","Female",65,130,9.5,"Junior",4,3.8,26,5,2,100,13,7,15,47,47,4,"few",51,"The Dark Night","The Walking Dead","STAR","Stat100_L1"
"Female","Female",62,125,7,"Freshman",5,3.8,22,3,3,85,200,7.5,16,46,48,6,"one",90,"Step Brothers","Limitless","Fixer Upper","Stat100_L1"
"Male","Male",70,160,10,"Sophomore",3,2.5,21,2,1,133,200,7,10,49,55,7,"few",25,"None","Dexter","Walking Dead","Stat100_L1"
"Male","Male",72,187,11,"Senior",5,3.9,34,7,2,140,30,7,5,46,50,7,"dozens",97,"American Sniper","Game of Thrones","Family Guy","Stat100_L1"
"Female","Female",65,124,8,"Sophomore",4,3,27,5,2,80,0,6.5,12,35,39,7,"few",40,"none","Bobs Burgers","The Office","Stat100_L1"
"Female","Female",61,133,6,"Freshman",1.5,4,24,8,1,115,2,6,18,43,43,6,"one",80,"Step-brothers","Law and Order:SVU","The Office","Stat100_L1"
"Male","Male",65,140,8,"Freshman",2,3,29,0,5,110,35,8.5,5,44,51,9,"one",90,"The Dark Knight","Breaking Bad","Avatar: The Last Airbender","Stat100_L1"
"Female","Female",67,119,8,"Freshman",3,3.5,24,4,4,100,50,9,13,53,57,7,"few",60,"Dirty Dancing","The Office","Shameless","Stat100_L1"
"Male","Male",69,150,9.5,"Freshman",2.5,4,29,6,1,60,45,7,6,40,42,5,"few",15,"Prestige","Supernatural","Games Of Thrones","Stat100_L1"
"Female","Female",67,115,7,"Freshman",4,3.5,31,1,2,60,20,8,30,53,54,7,"millions",100,"finding dory","psych","friends","Stat100_L1"
"Female","Female",67,140,9,"Sophomore",2,3.7,28,1,1,90,15,8.5,15,50,50,8,"few",80,"Slumdog Millionaire","Revenge","The Office","Stat100_L1"
"Female","Other",66,135,6.5,"Freshman",1,3,30,3,0,100,75,8,40,55,56,6,"none",60,"Legally Blonde","Parks and Recreation","Orange is the New Black","Stat100_L1"
"Female","Female",72,220,10,"Sophomore",3,3.4,29,2,2,105,30,9,10,57,65,8,"dozens",80,"Bridesmaids","The Challenge","Are You The One","Stat100_L1"
"Female","Female",61,130,6,"Sophomore",4,3.5,22,8,4,100,10,8,30,54,55,6,"few",50,"Girl's Trip","Gilmore Girls","How I met your mother","Stat100_L1"
"Female","Female",65,155,8.5,"Freshman",5,4,28,5,2,80,19,8,9,40,37,6,"few",100,"The Lord of the Rings","Friends","Parks and Recreation","Stat100_L1"
"Male","Male",70,178,9.5,"Sophomore",4,3.6,32,0,0,80,200,7,8,47,47,1,"few",15,"new zombie","Big bang theory","The elementary","Stat100_L1"
"Female","Female",69,230,10,"Sophomore",1.5,3.5,33,3,3,90,120,7.5,13,52,53,6,"few",80,"She's The Man","Gossip Girl","Grey's Anatomy","Stat100_L1"
"Male","Male",79,290,12.5,"Freshman",3,4,26,2,2,115,150,6.5,25,57,57,7,"few",10,"Dodgeball","Game of thrones","How I met your mother","Stat100_L1"
"Female","Female",63,125,7,"Junior",2,3.8,20,1,1,100,65,7.5,15,48,52,4,"hundreds",90,"none","none","none","Stat100_L1"
"Male","Male",72,165,11.5,"Freshman",2,4,28,0,2,100,96,7,7,47,48,7,"few",75,"Captain America: Winter Soldier","The Office","The Flash","Stat100_L1"
"Female","Female",66,300,10,"Sophomore",3,2.8,22,2,2,95,30,8,10,50,47,7,"few",50,"Instructions not Included","Grey's Anatomy","The Arrow","Stat100_L1"
